M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   |   after  NldfgBuild : Compute dependencies M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Compute templates M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute templates M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0.01s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Eliminate combinational SCCs M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Eliminate combinational SCCs M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Computing sequential SCCs M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Computing sequential SCCs M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create simulator clocks, changeAts and Triggers M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create simulator clocks, changeAts and Triggers M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : SymSimulator Analysis and computation M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : SymSimulator Analysis and computation M=1495.15mb, Malloc-M=479mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   after  NldfgBuild : Create dfg M=1495.15mb, Malloc-M=479mb, Available-M=12692mb, T=0s CPU=0.01s W=(2025-10-20 12:58:28)
STATS:: |   |   |   after  DfgBuild: NldfgBuild : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=1s CPU=0.01s W=(2025-10-20 12:58:28)
STATS:: |   |   |   before StaticCheck: StaticCheckProcess : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   before StaticCheck: NldfgFlatDesign : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   after  StaticCheck: NldfgFlatDesign : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   before StaticCheck: CombLoopCheck  : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   after  StaticCheck: CombLoopCheck  : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   before StaticCheck: MultiDriverCheck  : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   after  StaticCheck: MultiDriverCheck  : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   after  StaticCheck: StaticCheckProcess : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   before DfgBuild: DfgRemodel : M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   after  DfgBuild: DfgRemodel : M=1495.15mb, Malloc-M=478mb, Available-M=12691mb, T=0s CPU=0.01s W=(2025-10-20 12:58:28)
STATS:: |   |   after  Check: FormalModel : M=1495.15mb, Malloc-M=468mb, Available-M=12691mb, T=1s CPU=0.02s W=(2025-10-20 12:58:28)
STATS:: |   after  Check: BuildFormal : M=1495.15mb, Malloc-M=468mb, Available-M=12691mb, T=1s CPU=0.02s W=(2025-10-20 12:58:28)
STATS:: |   before Check: GCDB : M=1495.15mb, Malloc-M=468mb, Available-M=12691mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   after  Check: GCDB : M=1495.15mb, Malloc-M=468mb, Available-M=12691mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   before Check: Tanglewood : M=1495.15mb, Malloc-M=468mb, Available-M=12691mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   after  Check: Tanglewood : M=1495.18mb, Malloc-M=468mb, Available-M=12693mb, T=0s CPU=0.02s W=(2025-10-20 12:58:28)
STATS:: after  Check: check_fv : M=1495.18mb, Malloc-M=468mb, Available-M=12693mb, T=1s CPU=0.04s W=(2025-10-20 12:58:28)
STATS:: before DfgBuild: First_fileCopyForSaveOnTheFly : M=1495.18mb, Malloc-M=469mb, Available-M=12453mb, T=0s CPU=0s W=(2025-10-20 12:58:33)
STATS:: after  DfgBuild: First_fileCopyForSaveOnTheFly : M=1495.18mb, Malloc-M=469mb, Available-M=12559mb, T=0s CPU=0s W=(2025-10-20 12:58:33)
STATS:: before DfgBuild: saveProofDb_lastUpdate : M=1495.18mb, Malloc-M=469mb, Available-M=12703mb, T=0s CPU=0s W=(2025-10-20 12:58:33)
STATS:: after  DfgBuild: saveProofDb_lastUpdate : M=1495.18mb, Malloc-M=469mb, Available-M=12703mb, T=0s CPU=0s W=(2025-10-20 12:58:33)
STATS:: before SQL_DB_Save_MainM=1495.18mb, Malloc-M=471mb, Available-M=12703mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   before ApplyPendingWaiverM=1495.18mb, Malloc-M=473mb, Available-M=12703mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   after  ApplyPendingWaiverM=1495.18mb, Malloc-M=473mb, Available-M=12703mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: after  SQL_DB_Save_MainM=1495.18mb, Malloc-M=471mb, Available-M=12702mb, T=0s CPU=0.08s W=(2025-10-20 12:58:34)
STATS:: before MDM Save : M=1495.18mb, Malloc-M=471mb, Available-M=12703mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   before NLDM Save : M=1495.18mb, Malloc-M=471mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   after  NLDM Save : M=1495.18mb, Malloc-M=471mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   before ViewConstState_Save : M=1495.18mb, Malloc-M=471mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   after  ViewConstState_Save : M=1495.18mb, Malloc-M=471mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   before NameRules_Save : M=1495.18mb, Malloc-M=471mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   after  NameRules_Save : M=1495.18mb, Malloc-M=471mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   before Common_Save : M=1495.18mb, Malloc-M=471mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   |   before Common_Data_Save : M=1495.18mb, Malloc-M=472mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   |   after  Common_Data_Save : M=1495.18mb, Malloc-M=472mb, Available-M=12702mb, T=0s CPU=0.03s W=(2025-10-20 12:58:34)
STATS:: |   |   before Save Simulation :M=1495.18mb, Malloc-M=472mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   |   after  Save Simulation :M=1495.18mb, Malloc-M=472mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   |   before Saving RDC : M=1495.18mb, Malloc-M=472mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   |   after  Saving RDC : M=1495.18mb, Malloc-M=472mb, Available-M=12702mb, T=0s CPU=0s W=(2025-10-20 12:58:34)
STATS:: |   after  Common_Save : M=1495.18mb, Malloc-M=472mb, Available-M=12702mb, T=0s CPU=0.03s W=(2025-10-20 12:58:34)
STATS:: after  MDM Save : M=1495.18mb, Malloc-M=471mb, Available-M=12702mb, T=0s CPU=0.03s W=(2025-10-20 12:58:34)
STATS:: before SaveArchive Path:batch_results_rtdb/vsi.tar.lz4_AvailableDisk:201GB_SessionSize:25MB M=1495.18mb, Malloc-M=472mb, Available-M=12703mb, T=0s CPU=0s W=(2025-10-20 12:58:35)
STATS:: after  SaveArchive Path:batch_results_rtdb/vsi.tar.lz4_AvailableDisk:201GB_SessionSize:25MB M=1495.18mb, Malloc-M=472mb, Available-M=12702mb, T=0s CPU=0.14s W=(2025-10-20 12:58:35)
